cruise,cast,niskin,niskin_second_cast,replicate,vol_filtered,filter_size,fd_calibrated,tau_calibrated,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
en617,21,19-21-23-24,NA',a,120,>5&<200,1.3933,2.129904724,2.82,1.73,0.5085,2.3115,1.2215,0.143139498663811,0.0381064424239868,1
en617,21,19-21-23-24,NA',b,120,>5&<200,1.3933,2.129904724,2.88,1.74,0.5085,2.3715,1.2315,0.149705530712609,0.0330242085011627,1
en617,21,19-21-23-24,NA',c,120,>5&<200,1.3933,2.129904724,2.49,1.55,0.5085,1.9815,1.0415,0.123441402517415,0.0310961723028398,1
en617,21,19-21-23-24,NA',a,120,>20&<200,1.3933,2.129904724,0.772,0.64,0.5085,0.2635,0.1315,0.0173343246088285,0.00217762074773755,1
en617,21,19-21-23-24,NA',b,120,>20&<200,1.3933,2.129904724,0.794,0.686,0.5085,0.2855,0.1775,0.0141826292254051,0.0121547875106441,1
en617,21,19-21-23-24,NA',c,120,>20&<200,1.3933,2.129904724,0.722,0.679,0.5085,0.2135,0.1705,0.00564678756196683,0.0196519704859001,3
en627,3,8-10-11,NA',a,152,>0&<200,0.324655349,2.154519162,222,160,2.46,219.54,157.55,1.48252176161229,2.86757576432055,1
en627,3,8-10-11,NA',b,152,>0&<200,0.324655349,2.154519162,253,157,2.46,250.54,154.55,2.29564871587617,1.97161610565934,1
en627,3,8-10-11,NA',c,152,>0&<200,0.324655349,2.154519162,288,166,2.46,285.54,163.55,2.91745168090149,1.59831125382599,1
en627,3,8-10-11,NA',a,152,>10&<200,0.324655349,2.154519162,NaN,NaN,2.46,NaN,NaN,NaN,NaN,9
en627,3,8-10-11,NA',b,152,>10&<200,0.324655349,2.154519162,NaN,NaN,2.46,NaN,NaN,NaN,NaN,9
en627,3,8-10-11,NA',c,152,>10&<200,0.324655349,2.154519162,199,100,2.46,196.54,97.55,2.36739521184063,0.326048226145711,1
en627,3,8-10-11,NA',a,152,>5&<200,0.324655349,2.154519162,241,123,2.46,238.54,120.55,2.82178968628221,0.506704485416955,1
en627,3,8-10-11,NA',b,152,>5&<200,0.324655349,2.154519162,231,122,2.46,228.54,119.55,2.60655019838883,0.694333071844559,1
en627,3,8-10-11,NA',c,152,>5&<200,0.324655349,2.154519162,276,136,2.46,273.54,133.55,3.34793065668825,0.339505234065989,1
en627,3,8-10-11,NA',a,152,>20&<200,0.324655349,2.154519162,213,108,2.46,210.54,105.55,2.51088820376955,0.403442445942991,1
en627,3,8-10-11,NA',b,152,>20&<200,0.324655349,2.154519162,189,95.5,2.46,186.54,93.05,2.23585996923912,0.333334412151234,1
en627,3,8-10-11,NA',c,152,>20&<200,0.324655349,2.154519162,208,105,2.46,205.54,102.55,2.46305720645991,0.368440738855306,1
en627,8,9-10-11,NA',a,152,>0&<200,0.324655349,2.154519162,304,172,2.79,301.21,169.455,3.15098652526581,1.52781878261708,1
en627,8,9-10-11,NA',b,152,>0&<200,0.324655349,2.154519162,297,168,2.79,294.21,165.455,3.07924002930135,1.48912167271844,1
en627,8,9-10-11,NA',c,152,>0&<200,0.324655349,2.154519162,313,170,2.79,310.21,167.455,3.41405701046883,1.20952649448251,1
en627,8,9-10-11,NA',a,152,>10&<200,0.324655349,2.154519162,259,129,2.79,256.21,126.455,3.10315552795617,0.388381016898399,1
en627,8,9-10-11,NA',b,152,>10&<200,0.324655349,2.154519162,300,153,2.79,297.21,150.455,3.50971900508811,0.644479174945056,1
en627,8,9-10-11,NA',c,152,>10&<200,0.324655349,2.154519162,259,129,2.79,256.21,126.455,3.10315552795617,0.388381016898399,1
en627,8,9-10-11,NA',a,152,>5&<200,0.324655349,2.154519162,275,135,2.79,272.21,132.455,3.34231051450437,0.314891439144849,1
en627,8,9-10-11,NA',b,152,>5&<200,0.324655349,2.154519162,316,154,2.79,313.21,151.455,3.86845148491041,0.313357596588532,1
en627,8,9-10-11,NA',c,152,>5&<200,0.324655349,2.154519162,238,117,2.79,235.21,114.455,2.88791604006279,0.272289687202479,1
en627,8,9-10-11,NA',a,152,>20&<200,0.324655349,2.154519162,284,139,2.79,281.21,136.455,3.46188800777847,0.305757551733848,1
en627,8,9-10-11,NA',b,152,>20&<200,0.324655349,2.154519162,236,131,2.79,233.21,128.455,2.50526806158567,1.04149028620045,1
en627,8,9-10-11,NA',c,152,>20&<200,0.324655349,2.154519162,260,127,2.79,257.21,124.455,3.17490202392063,0.261412718002388,1
en627,11-12,11,11-12',a,152,>0&<200,0.324655349,2.154519162,207,129,2.095,204.905,126.905,1.86540889507596,1.6385525554382,1
en627,11-12,11,11-12',b,152,>0&<200,0.324655349,2.154519162,200,123,2.095,197.905,120.905,1.84149339642114,1.49680264529838,1
en627,11-12,11,11-12',c,152,>0&<200,0.324655349,2.154519162,264,131,2.095,261.905,128.905,3.18076132109106,0.378421932354657,3
en627,11-12,11,11-12',a,152,>10&<200,0.324655349,2.154519162,153,84.2,2.095,150.905,82.105,1.64538630745162,0.621606757395833,
en627,11-12,11,11-12',b,152,>10&<200,0.324655349,2.154519162,140,75.1,2.095,137.905,73.005,1.55211586269782,0.463617998811079,1
