"cruise","cast","date","latitude","longitude","nearest_station","distance_km"
"EN627","16",2019-02-03 10:47:27,40.362333,-70.887333,"L6",0.3582189337
"EN627","17",2019-02-03 13:51:21,40.228167,-70.887333,"L7",0.37925850122
"EN627","18",2019-02-03 16:53:50,40.135667,-70.767833,"L8",0.62000152741
"EN627","19",2019-02-03 17:42:37,40.135,-70.763833,"L8",0.96795155103
"EN627","20",2019-02-03 21:43:32,40.099167,-70.771333,"u9a",0.25953630959
"EN627","21",2019-02-03 23:29:26,40.098667,-70.991167,"d9a",0.12050189487
"EN627","22",2019-02-04 01:52:59,40.098,-70.8855,"L9",0.19007727987
"EN627","23",2019-02-04 05:35:45,39.935667,-70.882833,"L10",0.48345060489
"EN627","24",2019-02-04 06:40:45,39.9395,-70.883,"L10",0.06119845789
"EN627","25",2019-02-04 11:38:12,39.775167,-70.885,"L11",0.25338861343
"EN627","26",2019-02-04 12:47:43,39.774667,-70.8835,"L11",0.15296164458
"EN627","27",2019-02-04 15:27:50,39.774,-70.773833,"u11a",0.12651263882
"EN627","28",2019-02-04 17:17:40,39.774833,-70.991333,"d11a",0.17332350668
"EN627","29",2019-02-05 02:42:06,39.774667,-70.5215,"u11c",6.53958347148
"EN627","30",2019-02-05 06:13:37,39.775167,-70.884667,"L11",0.23821523773
"EN627","31",2019-02-05 07:24:04,39.8595,-70.884667,"L10.5",0.33249276439
"EN627","32",2019-02-05 08:33:28,39.942667,-70.881667,"L10",0.32760974527
"EN627","33",2019-02-05 09:43:44,39.9385,-70.7745,"L12",0.17215379455
"EN627","34",2019-02-05 11:34:40,40.020833,-70.8815,"L9.5",0.23762688427
"EN627","35",2019-02-05 12:32:13,40.1005,-70.887333,"L9",0.42132443234
"EN627","36",2019-02-05 13:34:48,40.165,-70.882667,"L7.5",0.28314393431
"EN627","37",2019-02-05 14:38:37,40.227333,-70.884,"L7",0.09211890006
"EN627","38",2019-02-05 15:59:34,40.364167,-70.888833,"L6",0.47859334368
"EN627","39",2019-02-05 17:12:27,40.365,-70.778833,"L13",0.32474448824
"EN627","40",2019-02-05 19:04:42,40.513167,-70.884667,"L5",0.11650415714
"EN627","41",2019-02-05 21:16:18,40.695167,-70.878167,"L4",0.46510574228
"EN627","42",2019-02-05 22:51:18,40.861833,-70.883833,"L3",0.1691692301
"EN627","43",2019-02-06 00:21:45,41.028333,-70.884,"L2",0.19444008584
"EN627","44",2019-02-06 01:42:34,41.195,-70.883,"L1",0.19069090581
"EN627","45",2019-02-06 04:23:26,41.320167,-70.572333,"MVCO-ASIT",0.71419983098
"AR34A","1",2019-04-04 20:14:29,40.863,-70.881833,"L3",0.12779645365
"AR34A","2",2019-04-04 23:09:25,40.5135,-70.882833,"L5",0.045311475
"AR34A","3",2019-04-05 01:29:54,40.228167,-70.8735,"L7",0.84782132177
"AR34A","4",2019-04-05 02:45:13,40.100167,-70.8755,"L9",0.69516282507
"AR34A","5",2019-04-05 16:11:08,39.940167,-70.8835,"L10",0.0252104407
"AR34A","6",2019-04-05 23:12:44,39.921833,-70.901833,"L10",2.56474129691
"AR34A","7",2019-04-06 02:48:18,40.089667,-70.889667,"L9",1.10219097767
"AR34A","8",2019-04-06 06:27:59,40.237667,-70.8875,"L7",1.27052832589
