cruise,cast,niskin,replicate_chl,vol_filtered,filter_size,Fs,r,fo,fa,blank,fo_blank,fa_blank,chl,phaeo
en644,1',20-21-22',a,152,>10&<200,0.79591678,2.182214006,7.98,4.41,0.806,7.174,3.604,0.20703548021533,0.0400558141813072
en644,1',20-21-22',b,152,>10&<200,0.79591678,2.182214006,7.54,4.82,0.806,6.734,4.014,0.157741318259299,0.117459696088121
en644,1',20-21-22',c,152,>10&<200,0.79591678,2.182214006,8.4,4.75,0.806,7.594,3.944,0.211674930752369,0.0587268631156499
en644,2',18-19-20',a,152,>0&<200,0.79591678,2.182214006,28.7,16.1,0.833,27.867,15.267,0.730713459583519,0.315996526974047
en644,2',18-19-20',b,152,>0&<200,0.79591678,2.182214006,26.1,15.8,0.833,25.267,14.967,0.597329256643671,0.42881264214503
en644,2',18-19-20',c,152,>0&<200,0.79591678,2.182214006,26.9,16.3,0.833,26.067,15.467,0.614727196157564,0.445694848912579
en644,2',18-19-20',a,152,>10&<200,0.79591678,2.182214006,7.1,4.08,0.833,6.267,3.247,0.175139257773193,0.047476012178495
en644,2',18-19-20',b,152,>10&<200,0.79591678,2.182214006,6.79,3.9,0.833,5.957,3.067,0.167600150650506,0.0426742666398629
en644,2',18-19-20',c,152,>10&<200,0.79591678,2.182214006,6.82,3.89,0.833,5.987,3.057,0.169919875919025,0.0396689384457149
en644,23',21-22-23',a,152,>0&<200,0.79591678,2.182214006,152,86.7,0.807,151.193,85.893,3.78695150085745,2.10189770824644
en644,23',21-22-23',b,152,>0&<200,0.79591678,2.182214006,142,84,0.807,141.193,83.193,3.36360163935271,2.34013477983139
en644,23',21-22-23',c,152,>0&<200,0.79591678,2.182214006,151,89,0.807,150.193,88.193,3.59557416620462,2.4509637157939
en644,23',21-22-23',a,152,>10&<200,0.79591678,2.182214006,113,64.9,0.807,112.193,64.093,2.78946963539423,1.60476519583876
en644,23',21-22-23',b,152,>10&<200,0.79591678,2.182214006,113,63.6,0.807,112.193,62.793,2.8648607066211,1.44024574428014
en644,23',21-22-23',c,152,>10&<200,0.79591678,2.182214006,113,64.4,0.807,112.193,63.593,2.81846620125072,1.54148848370083
en644,7',20-21-22',a,152,>0&<200,0.79591678,2.182214006,54.6,30,0.8435,53.7565,29.1565,1.42663104013925,0.572347129970506
en644,7',20-21-22',b,152,>0&<200,0.79591678,2.182214006,52.6,29.1,0.8435,51.7565,28.2565,1.36283859525498,0.574435311548185
en644,7',20-21-22',c,152,>0&<200,0.79591678,2.182214006,55.4,29.9,0.8435,54.5565,29.0565,1.47882485868093,0.513297282172537
en644,7',20-21-22',a,152,>10&<200,0.79591678,2.182214006,39.6,20.2,0.8435,38.7565,19.3565,1.12506675523177,0.202020547761716
en644,7',20-21-22',b,152,>10&<200,0.79591678,2.182214006,40.5,21.2,0.8435,39.6565,20.3565,1.11926744206047,0.276380153495899
en644,7',20-21-22',c,152,>10&<200,0.79591678,2.182214006,32.7,19.4,0.8435,31.8565,18.5565,0.771308651782604,0.500930417160572
en644,9',21-22-23',a,152,>0&<200,0.79591678,2.182214006,15.6,9.72,0.7725,14.8275,8.9475,0.340999614472309,0.272443603234105
